sku,identidade_antes,identidade_depois,conflito_antes,conflito_depois,motivos_antes,motivos_depois,avisos,vinculo,fila,regra
VTK018071,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,PENDENCIA_VALIDACAO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK018158,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,PENDENCIA_VALIDACAO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK017309,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_DIVERGENTE,PENDENCIA_VALIDACAO,CONFLITO_CONFIRMADO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,DIVERGENCIA_ATRIBUTO_PINS_NUMBER,CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,CONFLITOS,M2M-IDENTITY-v2.1
VTK017612,IDENTIDADE_DIVERGENTE,IDENTIDADE_INCONCLUSIVA,CONFLITO_CONFIRMADO,PENDENCIA_VALIDACAO,DIVERGENCIA_BRAND | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK018515,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,PENDENCIA_VALIDACAO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK017680,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,PENDENCIA_VALIDACAO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK017308,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,PENDENCIA_VALIDACAO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,COMPOSICAO_KIT_NAO_COMPROVADA,CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK017291,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,PENDENCIA_VALIDACAO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK018523,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,PENDENCIA_VALIDACAO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,ESCOPO_POTENCIA_RMS_NAO_COMPROVADO,CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
VTK018716,IDENTIDADE_INCONCLUSIVA,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,PENDENCIA_VALIDACAO,EVIDENCIA_IDENTIDADE_INCOMPLETA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,NOVO_ANUNCIO_CANDIDATO,PENDENCIAS_IDENTIDADE,M2M-IDENTITY-v2.1
