"sku","produto_id","motivo","evidencia"
"VTK018550","f45d249a-4ad2-43de-894c-dc80c6fe361f","EXCLUDED_BY_HISTORICAL_LEDGER","SOURCE_DEFERRED:ml-p0-phase6d/VTK018550/summary.json"
"VTK005397","f583f082-07ed-4a56-a737-1dd5f25c9f8b","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_CATALOG_IDENTITY:ml-p0-phase6c/VTK005397/summary.json"
"VTK025365","f5c8584c-9802-409d-9a4d-51f894cc05d1","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK026000","f5d8608f-1a03-462e-8b6a-118f4a938bb4","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_CATALOG_IDENTITY:ml-p0-phase6a/VTK026000/summary.json"
"VTK001897","f644c6c9-e102-42ff-98c6-b9265ac702b3","EXCLUDED_BY_HISTORICAL_LEDGER","SOURCE_DEFERRED:ml-p0-phase6d/VTK001897/summary.json"
"VTK025942","f68a8e01-9542-4265-8a7b-e6ab8c6795d9","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK016141","f6dd53a7-be1d-435b-8a90-5811eaaf959d","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK018129","f6fc077a-bac5-41d3-b5e0-d84f076d32ab","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_CATALOG_IDENTITY:ml-p0-phase6d/VTK018129/summary.json"
"VTK015972","f7ee4e5d-fd47-4d93-a169-63cbc4a9f257","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK018292","f85d881e-1485-487f-aaad-19c03f40c054","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_GTIN_UNIT_CONFLICT:ml-p0-phase6d/VTK018292/summary.json"
"VTK025861","fb955111-ce40-4901-9b5f-32a9bf040152","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_REQUIRED_ATTRIBUTE:ml-p0-phase6c/VTK025861/summary.json"
"VTK017336","fbb175b5-eb44-44bb-9633-567f8d679cb7","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_IDENTITY:ml-p0-phase6b/VTK017336/summary.json"
"VTK025420","fd6cd343-5598-41b5-8006-84d9b691e9a4","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK025499","fdd05020-df62-4887-93cc-cce65e6e4182","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK025835","fe28479d-677c-4b86-9814-1e89382fe1f9","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK025427","fe395999-9d8d-47e5-a23b-8cab098ac922","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK026037","fef9b31d-51d3-433b-a19c-ec7405ad03c7","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_GTIN_BRAND_CONFLICT:ml-p0-phase6d/VTK026037/summary.json"
