sku,pricing_group_id,origin_ml_item_id,ml_item_ids,current_price,experimental_price,sync_confirmed
VTK001796,VTK001796|MLB21618608,MLB7111712036,"[""MLB7111712036"",""MLB7316881314""]",53,49.47,true
VTK000036,VTK000036|MLB21618567,MLB7076429362,"[""MLB7076429362"",""MLB7108545962""]",146.05,136.37,true
VTK000050,VTK000050|MLB23132963,MLB7111661992,"[""MLB7111661992"",""MLB4880564181""]",74,69.18,true
VTK017604,VTK017604|MLB24799244,MLB7239070138,"[""MLB4942204073"",""MLB7239070138""]",64,59.51,true
VTK003175,VTK003175|MLB32266157,MLB7111650726,"[""MLB7111650726"",""MLB7151451832""]",67.68,63.03,true
VTK000041,VTK000041|MLB21868235,MLB7009323242,"[""MLB7009323242"",""MLB4801143851""]",131.13,122.31,true
VTK012494,VTK012494|MLB26714215,MLB7111706810,"[""MLB7111706810"",""MLB7149328342""]",97.22,91.21,true
VTK012679,VTK012679|MLB26714213,MLB4857542181,"[""MLB7149374692"",""MLB4857542181""]",135.34,126.42,true
VTK012394,VTK012394|MLB21794269,MLB4857636689,"[""MLB4857636689"",""MLB7149338064""]",45,42.32,true
VTK018723,VTK018723|MLB50745398,MLB4981290435,"[""MLB4981290435"",""MLB7313273036""]",109.17,102.46,true
VTK012004,VTK012004|MLB23160283,MLB7111661840,"[""MLB4880564363"",""MLB7111661840""]",78.9,74.25,true
VTK001738,VTK001738|MLB21701538,MLB7111662740,"[""MLB4880564099"",""MLB7111662740""]",65,61.27,true
VTK017328,VTK017328|MLB35155590,MLB7285976274,"[""MLB7285976274"",""MLB4971957747""]",72,67.53,true
VTK000004,VTK000004|MLB21604990,MLB6955942282,"[""MLB6955942282"",""MLB4786776935""]",126.26,116.68,true
VTK017945,VTK017945|MLB21551509,MLB4937479947,"[""MLB4981702571"",""MLB4937479947""]",78.9,74.67,true
VTK012202,VTK012202|MLB38354413,MLB7111661784,"[""MLB7111661784"",""MLB7400501212""]",78.9,74.85,true
VTK000213,VTK000213|MLB33654106,MLB4857637265,"[""MLB4857637265"",""MLB7149337698""]",35.74,34.08,true
VTK005540,VTK005540|MLB36024781,MLB4857542091,"[""MLB4880632595"",""MLB4857542091""]",133.77,127.59,true
