sku,pricing_group_id,product_id,product_name,ml_item_ids,origin_ml_item_id,title,current_price,current_profit,current_margin_pct,experimental_price,experimental_profit,experimental_margin_pct,target_margin_pct,supplier_cost,fee_amount,shipping_amount,tax_rate,visits_30d,visits_90d,visits_150d,sales_30d,sales_90d,sales_150d,stock,price_to_win,catalog_synchronized_pair,sync_confirmed
VTK012068,VTK012068|MLB20312085,3b3cc493-b6ed-42b6-ba1b-25408508244f,5 Baterias Cr2430 Elgin,"[""MLB4857637203"",""MLB5079124789""]",MLB4857637203,5 Baterias Cr2430 Elgin Litio,57.96,17.5,30.1873,38.96,2.73,7.0065,7.000000000000001,12.5,5.45,15.05,0.082799,0,0,0,0,0,0,100,10.86,true,true
VTK012106,VTK012106|MLB7111713032,17350f4f-ebc4-4f63-9d5c-22e5764b9548,Conector Xlr Femea Linha Vermelho Corpo Metalico Storm 05 Unidades,"[""MLB7111713032""]",MLB7111713032,Conector Xlr Femea Linha Vermelho Corpo Metalico Storm 05,59.76,18.04,30.1927,40.44,2.83,7.0089,7.000000000000001,16.05,5.26,12.95,0.082799,0,0,0,0,0,0,89,0,false,true
VTK017708,VTK017708|MLB32224655,c2bc53ad-df5d-4a5b-a3ec-f98ab519a418,Acessório Cabo De Antena Ford Fusion / Gm,"[""MLB4981311917"",""MLB4986120857""]",MLB4981311917,Cabo De Antena Ford Fusion Gm Permak,56.64,16.97,29.9687,37.99,2.67,7.0175,7.000000000000001,13.53,5.7,12.95,0.082799,0,0,0,0,0,0,31,56.64,true,true
VTK022016,VTK022016|MLB38302545,928958aa-5d36-44cf-98ea-52a9cb8d4f71,"Cabo Hdmi Evus C-002 3d Macho X Macho Com Filtro V1.4 3,0m","[""MLB4981312713"",""MLB7320340216""]",MLB4981312713,Cabo Hdmi Evus C-002 3d Macho X Macho Com Filtro V1.4 3 0m,59.28,17.76,29.9617,38.88,2.72,7.002,7.000000000000001,12.99,7,12.95,0.082799,0,0,0,0,0,0,50,59.28,true,true
VTK001675,VTK001675|MLB4857624429,c3c0e909-49eb-422a-a539-2bf3eb471db3,Conector Cannon Macho Corpo Metálico YS1058A Preto Genérico - PCT / 5,"[""MLB4857624429""]",MLB4857624429,Conector Cannon Macho Corpo Metálico Ys1058a Preto Genérico,60.23,18.02,29.9238,40.98,2.87,7.0022,7.000000000000001,16.44,5.33,12.95,0.082799,0,0,0,0,0,0,19,0,false,true
VTK000175,VTK000175|MLB4857624323,a70e964c-1c74-467f-8164-db507ae6d324,Plug RCA Profissional PGRC0013 Vermelho Storm - DEZ / 10,"[""MLB4857624323""]",MLB4857624323,Plug Rca Profissional Pgrc0013 Vermelho Storm - Dez / 10,60.48,18.02,29.7948,41.26,2.89,7.0042,7.000000000000001,16.64,5.36,12.95,0.082799,0,2,2,0,0,0,15,0,false,true
VTK017185,VTK017185|MLB4981504493,865b05da-58b8-4c3b-9fc4-9c7b58cc19bd,Plug Santo Angelo P10 Ninja Estéreo Com Mola Níquel,"[""MLB4981504493""]",MLB4981504493,Plug Santo Angelo P10 Ninja Estéreo Com Mola Níquel,56.99,16.96,29.765,37.55,2.63,7.009,7.000000000000001,11.2,6.76,13.85,0.082799,0,0,0,0,0,0,17,0,false,true
VTK012478,VTK012478|MLB28360869,d79d116c-02e7-46d6-8b39-9a0659dae61e,Cabo Hdmi 1.4 Com Filtro 5m Storm,"[""MLB4880591999"",""MLB4857623631""]",MLB4857623631,Cabo Hdmi 5 Metros Com Filtro E Conector Ouro 24k Hd E 3d,61.23,17.99,29.3815,42.13,2.95,7.0135,7.000000000000001,17.26,5.48,12.95,0.082799,0,0,0,0,0,0,8,32.52,true,true
VTK001860,VTK001860|MLB4877412775,89e62786-1bd8-4b94-8a36-d3c324f70659,Conector XLR Macho 3 Pinos Azul Genérico - PCT / 5,"[""MLB4877412775""]",MLB4877412775,Conector Xlr Macho 3 Pinos Azul Genérico - Pct / 5 Azul,61.33,17.99,29.3315,42.24,2.96,7.0108,7.000000000000001,16.44,5.49,13.85,0.082799,0,0,0,0,0,0,20,0,false,true
VTK017193,VTK017193|MLB4937565215,bb8bea58-61c4-4e41-9d68-46f486032eef,Resistencia Para Ducha Eletrônica Hydra Hit 5500w 127v,"[""MLB4937565215""]",MLB4937565215,Resistencia Para Ducha Eletrônica Hydra Hit 5500w 127v,59.82,17.48,29.2154,40.35,2.83,7.0169,7.000000000000001,14.57,6.66,12.95,0.082799,2,3,3,0,0,0,50,0,false,true
