sku,pricing_group_id,product_name,ml_item_ids,exclusion_reasons,current_price,current_margin_pct,visits_150d,sales_150d,has_promotion,has_quantity_pricing,has_ml_price_automation,evidence
VTK012393,VTK012393|MLB22707637,Cabo De áudio P2 P2 3 Metros P2p2 03 Wireconex,"[""MLB7149327814"",""MLB7111708684""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",66,11.9928,7,0,false,false,false,"{""prices"":[200,200],""sale_prices"":[200,200],""visits"":[200,200],""sync"":{""status"":200,""sync_status"":""SYNC"",""relations"":[""MLB7111708684""]},""offer_source"":""automatic"",""target_error"":null}"
VTK012052,VTK012052|MLB7111713604,Bateria Para Aparelho Auditivo 675 Pr44 Elgin 06 Unidades,"[""MLB7111713604""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",38.77,11.5607,31,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK003874,VTK003874|MLB22742907,"Cabo XLR Macho x XLR Fêmea 6,10m Ninja LW B Santo Angelo","[""MLB4842210865"",""MLB7150323360""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE"",""MARGEM_PREMIUM_PRESERVADA""]",137.66,11.2473,29,2,false,false,false,"{""prices"":[200,200],""sale_prices"":[200,200],""visits"":[200,200],""sync"":{""status"":200,""sync_status"":""SYNC"",""relations"":[""MLB7150323360""]},""offer_source"":""automatic"",""target_error"":null}"
VTK000047,VTK000047|MLB29360695,Multímetro Digital Minipa ET-1002,"[""MLB4935791983"",""MLB4841909841""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE"",""MARGEM_PREMIUM_PRESERVADA""]",141.09,10.8956,74,2,false,false,false,"{""prices"":[200,200],""sale_prices"":[200,200],""visits"":[200,200],""sync"":{""status"":200,""sync_status"":""SYNC"",""relations"":[""MLB4841909841""]},""offer_source"":""automatic"",""target_error"":null}"
VTK000398,VTK000398|MLB37700643,Apoio de Pés ABS Preto Multivisão,"[""MLB4841983317"",""MLB7095328042""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",141.85,10.8211,7,0,false,false,false,"{""prices"":[200,200],""sale_prices"":[200,200],""visits"":[200,200],""sync"":{""status"":200,""sync_status"":""SYNC"",""relations"":[""MLB7095328042""]},""offer_source"":""automatic"",""target_error"":null}"
VTK001748,VTK001748|MLB23342418,Timer Digital 24h Bivolt Brasfort,"[""MLB4842175573"",""MLB7101696838""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE"",""MARGEM_PREMIUM_PRESERVADA""]",130.6,10.5034,42,8,false,false,false,"{""prices"":[200,200],""sale_prices"":[200,200],""visits"":[200,200],""sync"":{""status"":200,""sync_status"":""SYNC"",""relations"":[""MLB7101696838""]},""offer_source"":""automatic"",""target_error"":null}"
VTK012545,VTK012545|MLB4857541977,Carregador Rayovac Usb 2aa Sm-4,"[""MLB4857541977""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",133.14,10.3657,27,1,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK018706,VTK018706|MLB7311575674,Protetor De Carter Dhf-240 Stilo 2003,"[""MLB7311575674""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE"",""MARGEM_PREMIUM_PRESERVADA""]",142.66,10.3012,51,2,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK017391,VTK017391|MLB24747787,Grampo Vonder 16mm Para Pinador Elétrico Com 1000 Grampos,"[""MLB7332095530"",""MLB7381240518""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",46.74,10.2864,19,0,false,false,false,"{""prices"":[200,200],""sale_prices"":[200,200],""visits"":[200,200],""sync"":{""status"":200,""sync_status"":""SYNC"",""relations"":[""MLB7381240518""]},""offer_source"":""automatic"",""target_error"":null}"
VTK017219,VTK017219|MLB46421583,Guia Organizador Cabos 2u X 19 Alta Densidade,"[""MLB4981311655"",""MLB7313982634""]","[""EXCLUIDO_ANUNCIO_NAO_ATIVO""]",,,,,,,,{}
VTK017786,VTK017786|MLB4994952445,Calota Grid Aro 14p 094cb-pta Fiat Modelo Palio Attractive 2012/ 13 Cubo Baixo - PC / 4,"[""MLB4994952445""]","[""EXCLUIDO_TRAFEGO_ACIMA_LIMITE""]",109.18,10.0104,8,0,false,false,false,"{""prices"":[200],""sale_prices"":[200],""visits"":[200],""sync"":null,""offer_source"":""automatic"",""target_error"":null}"
VTK000115,VTK000115|MLB34122303,"Bateria Selada 12V 1,3Ah UP1213 Unipower","[""MLB4981704163"",""MLB7086959336""]","[""SEM_MARGEM_PREMIUM_ATUAL"",""EXCLUIDO_TRAFEGO_ACIMA_LIMITE"",""MARGEM_PREMIUM_PRESERVADA""]",94.36,9.888,172,10,false,false,false,"{""prices"":[200,200],""sale_prices"":[200,200],""visits"":[200,200],""sync"":{""status"":200,""sync_status"":""SYNC"",""relations"":[""MLB7086959336""]},""offer_source"":""automatic"",""target_error"":null}"
