ml_item_id,sku,status,pricing_group_id,preco_remoto,ultima_origem_registrada,regra_historica,preco_evento,instante_evento,coincide_com_evento,acao
MLB4786777235,VTK009677,active,ml:MLB4773176491:MLB4786777235,424.34,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4786777173,VTK009686,active,ml:MLB4773178955:MLB4786777173,220.45,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4786772139,VTK003694,active,ml:MLB4582573509:MLB4786772139,246.52,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4786766415,VTK009690,active,ml:MLB4773130609:MLB4786766415,338.45,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4786765943,VTK009671,active,ml:MLB4773138349:MLB4786765943,1199,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4786765399,VTK009693,active,ml:MLB4773203279:MLB4786765399,977,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4786757691,VTK009674,active,ml:MLB4773175741:MLB4786757691,138,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB6984996878,VTK000065,active,ml:MLB6984929310:MLB6984996878,990,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB6984929310,VTK000065,active,ml:MLB6984929310:MLB6984996878,990,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB4799211343,VTK009666,active,ml:MLB4773125633:MLB4799211343,217.52,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7010058418,VTK000492,active,ml:MLB4987960393:MLB7010058418,282,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7009939716,VTK000021,active,ml:MLB7009939716:MLB7390923456,279.27,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7009932794,VTK000475,active,ml:MLB4811202227:MLB7009932794,330,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7009927448,VTK000132,active,ml:MLB4801397717:MLB7009927448,203.25,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7009921386,VTK000185,active,ml:MLB4801364301:MLB7009921386,229.81,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7009920192,VTK000153,active,ml:MLB4820387925:MLB7009920192,370,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7009915854,VTK000076,active,ml:MLB4804206631:MLB7009915854,777,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7009884118,VTK000346,active,ml:MLB7009884118:MLB7313972902,280.87,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7009879390,VTK000055,active,ml:MLB4801364345:MLB7009879390,297,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7009878740,VTK000174,active,ml:MLB4804196255:MLB7009878740,990,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7009875704,VTK000419,active,ml:MLB4804981757:MLB7009875704,100.45,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7009323242,VTK000041,active,,122.31,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7009318968,VTK000244,active,ml:MLB7009318968:MLB7400500850,194.68,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7009017476,VTK009749,active,item:MLB7009017476,578,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
MLB7009017380,VTK009750,active,ml:MLB7009017380:MLB7012934562,606.88,,,,,False,AUTORIA_NAO_COMPROVADA_NAO_INFERIR_CUSTOM_PRICE
