ml_item_id,sku,produto_id,avaliacao_id,preco,cmv,componentes,tarifa,origem_tarifa,frete,origem_frete,tributo_aliquota,tributo_status,resultado,margem,piso,alvo,limite,status,pendencias,regra,avaliado_em
MLB6563508512,VTK001365,9ebed057-373c-4d6b-a242-d5d78c88fe0d,49793472-f898-429a-a1f8-d78f11ea3334,414.85,,null,74.67,ml_live,29.25,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:34.301Z
MLB6563508286,VTK001099,f98627ff-e823-4d14-88be-51a957c2bdc1,0dd3d6c0-066f-4e67-9310-2c5bb05af02c,218.35,,null,39.3,ml_live,24.45,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:34.304Z
MLB6563495246,VTK001283,ceaed32b-02d7-4a7c-a20c-a3007be7c392,085e52d0-d05b-4def-8854-597e925f9e5a,556.48,,null,100.17,ml_live,27.05,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:34.922Z
MLB6563495210,VTK006554,8af7167f-9849-478a-8935-f9f718a3c2f8,d5ffc0ae-44b6-47d4-9b05-1f5b2397b2dc,1170.27,,null,210.65,ml_live,75.65,ml_live,0.08279935223578168,estimated,,,0.1,0.15,0.2,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:34.926Z
MLB6563438884,VTK000986,cfed53b3-2a31-406f-a4ae-6d5e095e7e72,3c23957b-9ee1-431d-8546-d1bc2792eb43,246.65,,null,39.46,ml_live,24.45,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:34.918Z
MLB6563437514,VTK000968,91fd8148-79f6-4dca-a279-f6896aa59008,1e127eee-53a8-4062-9c5d-0aab5ab9868c,200.21,,null,36.04,ml_live,24.45,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:35.320Z
MLB6563432358,VTK006488,e3fd0340-9608-44d2-9500-6cf94d87c51f,0fe3671e-2230-411d-ab18-62cbe779a77d,2253.5,,null,360.56,ml_live,25.55,ml_live,0.08279935223578168,estimated,,,0.1,0.15,0.2,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:35.321Z
MLB6563432308,VTK000838,6aac649e-a422-4fc3-a933-1a8a578e6881,81bfd6cf-f369-4f3f-805f-108ffb70dec0,248.88,,null,44.8,ml_live,27.05,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:35.322Z
MLB6563432022,VTK006518,290f7605-f028-4c6f-aea5-faa87c42a408,92692571-c9c0-4255-af2f-4e27f6727fa7,1590.77,,null,286.34,ml_live,69.35,ml_live,0.08279935223578168,estimated,,,0.1,0.15,0.2,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:35.317Z
MLB6563429986,VTK000936,3bb2917e-58b6-4176-99b7-01c923953da5,2ab6dce3-88d7-4185-9502-78dcfb7664ed,281.08,,null,50.59,ml_live,24.45,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:35.721Z
MLB6563420636,VTK000887,df7fc63d-3e83-4136-ad7b-cfb0b6a54dc2,408b3581-621c-418f-8983-cabab70f3951,250.71,,null,45.13,ml_live,24.45,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:35.710Z
MLB6563418948,VTK001033,50d1e44e-5dee-4462-aeb1-6e5e308f7525,d3933760-4271-4569-b227-f80a0b75e7bd,229.94,,null,39.09,ml_live,27.05,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:35.717Z
MLB6563348882,VTK000851,8e8d924f-53a4-4678-9331-bf90c67aa939,8fa06472-659a-4db9-89ea-a1fe2c23814f,239.23,,null,39.47,ml_live,40.85,ml_live,0.08279935223578168,estimated,,,0.07,0.1,0.15,inconclusive,CUSTO_INDISPONIVEL,VORTEK-CANON-1.0-ECON-2,2026-09-06T03:46:36.121Z
