"SKU";"Produto";"Categoria ML";"Atributos obrigatórios";"GTIN obrigatório";"Status"
"VTK016115";"32 Pilhas Comum Aaa Panasonic (4 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016116";"32 Pilhas Comum Aaa Panasonic (8 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016118";"35 Baterias Cr2025 Panasonic (7 Cart)";"MLB7051";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016119";"35 Baterias Cr2032 Panasonic (7 Cart)";"MLB7051";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016120";"36 Pilhas Alcalinas Aa Panasonic (6 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016121";"36 Pilhas Alcalinas Aa Panasonic (9 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016122";"36 Pilhas Alcalinas Aaa Panasonic (6 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016123";"36 Pilhas Alcalinas Aaa Panasonic (9 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016124";"36 Pilhas Alcalinas Premium Aa Panasonic (6 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016125";"36 Pilhas Alcalinas Premium Aa Panasonic (9 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016126";"36 Pilhas Alcalinas Premium Aaa Panasonic (6 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016127";"36 Pilhas Alcalinas Premium Aaa Panasonic (9 Cart)";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016128";"36 Pilhas Comum Aa Panasonic (9 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016129";"36 Pilhas Comum Aaa Panasonic (9 Cart)";"MLB7060";"É recarregável; Código universal de produto";"SIM";"Bloqueado na validação ML"
"VTK016130";"4 Baterias Alcalinas 12v Panasonic Lrv08-1b";"MLB7060";"Código universal de produto";"SIM";"Bloqueado na validação ML"
